trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.570349462894228,11.558001663317555,11.574737182108947,up,1,0.6707118711456133,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
1,0,1,0,12.260394155142421,13.247096664155833,13.263910066096287,up,1,0.613820344558917,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
2,0,2,0,13.88264518943106,14.86946271193301,14.886170760310051,up,1,0.44617505701535265,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
3,0,3,0,15.337749026082747,16.32449228790938,16.341188865124423,up,0,0.49468599461761187,-3,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
4,0,4,0,16.8429691591773,17.82972208092906,17.846564462644892,up,1,0.7974371111704386,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
5,0,5,0,18.64924237507512,19.636056576975534,19.652679195387464,down,1,0.6874362206435762,-1,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
6,0,6,0,20.355200888712716,21.341957734806783,21.358666688804078,down,1,0.6292182655633951,-3,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
7,0,7,0,21.99420978037233,22.980959683394758,22.99765565686539,up,0,0.6228246024729742,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
8,0,8,0,23.63349247054066,24.63684959647071,24.63684959647071,down,1,0.6631203773104062,2,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
9,0,9,0,25.322524681861978,26.309309903990652,26.326110929148854,down,1,0.9900297596650489,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
10,0,10,0,27.32959484159801,28.31637583750853,28.332965551799134,up,1,0.8712890516835614,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
11,0,11,0,29.219430939836457,30.206195936490985,30.222965566892526,down,1,1.2052471608149062,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
12,0,12,0,31.443835231861158,32.430643698182394,32.447360500867944,down,1,0.629067329227837,-5,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
13,0,13,0,33.0828338598476,34.06970209695646,34.08632411162762,up,1,0.9254018403662485,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
14,0,14,0,35.022960133184824,36.009730563549965,36.02642080144142,up,1,0.6977071362707647,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
15,0,15,0,36.7288791015053,37.71565707868649,37.732295696350775,down,1,0.7682270062832686,-5,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
16,0,16,0,38.501754031130986,39.48847133190793,39.50517696530369,up,1,1.2353477900651342,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
17,0,17,0,40.74284705168611,41.72961416144972,41.74624523229795,down,1,0.625524249735463,-4,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
18,0,18,0,42.3818532264886,43.368562376705086,43.38525895392013,up,1,0.8908479855272162,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
19,0,19,0,44.288500915426994,45.27524508287024,45.29189607731678,up,1,0.8238059905124828,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
20,0,20,0,46.128214679763914,47.11494435731947,47.131671725550405,down,1,0.7606137776201649,-4,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
21,0,21,0,47.90108568504729,48.8877727985564,48.90452733532584,down,0,0.9717136355866387,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
22,0,22,0,49.89123618366648,50.8780156702087,50.89483933581869,down,1,0.7899959499263787,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
23,0,23,0,51.69757067971295,52.68429884790385,52.701024103022064,up,1,0.5352365499893494,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
24,0,24,0,53.236203890835895,54.22311620135588,54.23969293512346,down,0,2.452463668418204,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
25,0,25,0,56.69824627073831,57.68503903968303,57.7018216506076,down,0,0.606692225272127,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
26,0,26,0,58.320601752973744,59.30745851892061,59.324090797261306,up,0,1.0012141419829277,-3,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
27,0,27,0,60.32754693742754,61.31433034831571,61.33105530156172,down,1,0.6413641123181151,-2,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
28,0,28,0,61.9833058377626,62.97008713554533,62.98681752250195,up,0,1.5625071229878813,-3,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
29,0,29,0,64.55896041090818,65.54570548396805,65.56238576006217,down,0,0.6822494444786571,0,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
30,0,30,0,66.24819397129977,67.23491036645646,67.25155290846669,down,1,0.9761472394529846,3,861052,001,2022-09-09_15h25.35.351,exp-2,2022.2.2,59.77514769479275,
